	ion	x0	integer_mass	KMD_CH2	e_KMD_CH2	KMD_CH2_matches
0	C7H8O4	156.042259	156	0.13197918	0.00311736	
1	C6H4O6	172.00078784564	172	0.19126977	0.00343617	
2	<unknown0003>	172.026905	172	0.16518178	0.0034367	
3	C6H10O6	178.04773803806	178	0.15107166	0.00355698	
4	<unknown0004>	178.919499	179	0.28028411	0.00357439	
5	<unknown0005>	178.97605900000002	179	0.22378727	0.00357552	
6	C6H3N2O5	183.00419620361	183	0.20014792	0.003656	
7	C8H7O5	183.02934832229	183	0.17502388	0.0036565	
8	<unknown0006>	184.908256	185	0.29821421	0.00369404	<unknown0081>
9	<unknown0007>	184.976909	185	0.22963787	0.00369541	
10	C6H3N1O6	184.996037	185	0.21053123	0.00369579	
11	C8H9O5	185.044998	185	0.1616249	0.00369677	
12	<unknown0008>	185.094234	185	0.11244388	0.00369775	
13	C8H3O6	194.99296281357	195	0.22476807	0.0038955	
14	C6H11O7	195.05047768969	195	0.16731742	0.00389665	
15	C2H2IO3	200.904867	201	0.31946517	0.00401361	<unknown0015>, <unknown0118>
16	C3H6IO2	200.941252	201	0.2831208	0.00401434	<unknown0090>
17	C10H17O4	201.112684	201	0.11188022	0.00401776	
18	<unknown0009>	201.919569	202	0.30589619	0.00403388	<unknown0019>
19	C9H16O5	204.09977361091998	204	0.12812602	0.00407744	
20	C11H19O6	247.11816332669	247	0.15777102	0.00493684	
21	<unknown0010>	264.933026	265	0.36280058	0.00529274	
22	C6H5N2O10	264.994419	265	0.30147614	0.00529397	
23	<unknown0012>	266.849	267	0.44896598	0.00533102	<unknown0075>, IC8H4O6
24	IC6H4O4	266.91543160652003	267	0.38260855	0.00533235	IC8H8O4, C6H3N3O12, <unknown0146>
25	<unknown0011>	266.953997	267	0.34408622	0.00533312	<unknown0048>, <unknown0076>
26	<unknown0013>	267.024	267	0.27416138	0.00533452	<unknown0148>
27	CH3I2	268.832421	269	0.46775968	0.00537064	<unknown0080>, <unknown0151>
28	IC6H6O4	268.931082	269	0.36920885	0.00537262	IC7H8O4, IC8H10O4, IC10H14O4
29	H14IO8	268.97334	269	0.32699803	0.00537346	<unknown0049>, <unknown0109>, <unknown0152>, <unknown0168>
30	<unknown0014>	270.811737	271	0.4906538	0.00541019	<unknown0158>
31	<unknown0016>	270.907	271	0.39549718	0.00541209	IC8H10O5, <unknown0116>, IC9H12N1O5
32	IC6H8O4	270.946732	271	0.35580954	0.00541288	IC10H16O4
33	<unknown0015>	270.99	271	0.31258985	0.00541375	C2H2IO3
34	<unknown0018>	271.811058	272	0.49244866	0.00543015	
35	<unknown0017>	271.904091	272	0.39951954	0.00543201	
36	IC6H9O4	271.95455699999997	272	0.34910989	0.00543302	
37	<unknown0019>	271.994587	272	0.30912459	0.00543382	<unknown0009>
38	<unknown0021>	272.065584	272	0.23820686	0.00543524	
39	<unknown0023>	272.90691400000003	273	0.3978163	0.00545204	
40	C6H10IO4	272.962382	273	0.34241023	0.00545315	IC10H18O4
41	<unknown0022>	273.00703500000003	273	0.29780709	0.00545404	
42	<unknown0024>	276.944578	277	0.36466079	0.00553271	
43	IC6H14O4	276.993682	277	0.31561162	0.00553369	<unknown0095>, <unknown0171>
44	IC6H4N1O4	280.91850561132003	281	0.3951705	0.0056121	<unknown0077>, IC6H12O7, <unknown0149>
45	<unknown0025>	280.953108	281	0.36060675	0.00561279	
46	C6H5N2O11	280.98933398511	281	0.32442122	0.00561351	
47	<unknown0027>	281.013238	281	0.30054389	0.00561399	
48	<unknown0033>	281.50655	282	-0.19221727	0.00562384	
49	IC6H5N1O4	281.926331	282	0.38847046	0.00563223	IC6H5NO4, IC6H13O7, IC7H15O7
50	IC6H5NO4	281.926331	282	0.38847046	0.00563223	IC6H5N1O4, IC6H13O7, IC7H15O7
51	<unknown0029>	281.964152	282	0.35069169	0.00563299	
52	<unknown0028>	282.012342	282	0.3025555	0.00563395	
53	IC7H8O4	282.9467317348	283	0.36920911	0.00565262	IC6H6O4, IC8H10O4, IC10H14O4
54	<unknown0034>	283.00115	283	0.31485161	0.0056537	<unknown0049>, <unknown0168>
