	ion	x0	integer_mass	KMD_CH2	e_KMD_CH2	KMD_CH2_matches
0	IC6H7O3-	253.943969084	254	0.33958702	0.00507321	IC6H7O3-
1	IC6H8O3-	254.95179411599997	255	0.33288733	0.00509334	IC6H8O3-
2	IC6H6O2-	236.941229432	237	0.32334126	0.00473353	
3	IC6H7NO4-	283.941957709	284	0.37509442	0.0056725	
4	IC7H9O7-	331.939277628	332	0.43136873	0.00663137	IC6H7NO7-, IC6H7O7-, IC7H9O7-, IC6H7O7-
5	IC7H10O7-	332.9471026600001	333	0.42466905	0.00665151	IC7H10O7-, IC6H8O7-
6	IC6H6O6-	300.920887912	301	0.41512304	0.0060117	
7	IC7H10O6-	316.95218804	317	0.4017236	0.00633197	IC6H8O6-
8	IC7H9NO8-	361.937266253	362	0.46687613	0.00723066	IC7H9O8-, IC6H7NO8-
9	IC7H9O6-	315.944363008	316	0.40842329	0.00631183	IC6H7NO6-, IC6H7O6-
10	IC6H7O4-	269.93888370400003	270	0.36253247	0.00539275	IC6H7O4-
11	IC6H8O4-	270.946708736	271	0.35583278	0.00541288	IC6H8O4-
12	IC6H6O3-	252.936144052	253	0.34628671	0.00505307	
13	IC6H8O3-	254.95179411599997	255	0.33288733	0.00509334	IC6H8O3-
14	IC6H7NO5-	299.93687232900004	300	0.39803986	0.00599204	
15	IC6H7O3-	253.943969084	254	0.33958702	0.00507321	IC6H7O3-
16	IC6H7NO7-	331.926701569	332	0.44393075	0.00663112	IC7H9O7-, IC6H7O7-, IC7H9O7-, IC6H7O7-
17	IC7H9O8-	347.93419224800004	348	0.45431418	0.00695091	IC7H9NO8-, IC6H7NO8-
18	IC7H10O8-	348.94201728	349	0.44761449	0.00697105	
19	IC6H7O7-	317.923627564	318	0.4313688	0.00635137	IC7H9O7-, IC6H7NO7-, IC7H9O7-, IC6H7O7-
20	IC7H10O7-	332.9471026600001	333	0.42466905	0.00665151	IC7H10O7-, IC6H8O7-
21	IC7H9NO9-	377.93218087300005	378	0.48982158	0.0075502	
22	IC7H9O7-	331.939277628	332	0.43136873	0.00663137	IC6H7NO7-, IC6H7O7-, IC7H9O7-, IC6H7O7-
23	IC6H7O5-	285.933798324	286	0.38547791	0.00571229	
24	IC6H8O5-	286.94162335600004	287	0.37877822	0.00573242	
25	IC6H6O4-	268.931058672	269	0.36923215	0.00537262	
26	IC6H8O4-	270.946708736	271	0.35583278	0.00541288	IC6H8O4-
27	IC6H7NO6-	315.931786949	316	0.42098531	0.00631158	IC7H9O6-
28	IC6H7O4-	269.93888370400003	270	0.36253247	0.00539275	IC6H7O4-
29	IC6H7O7-	317.923627564	318	0.4313688	0.00635137	IC7H9O7-, IC6H7NO7-, IC7H9O7-, IC6H7O7-
